,DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA ,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON,ZIP_CODE
210716,111817439,08/28/2011 12:00:00 AM,08/28/2011 12:00:00 AM,1035,18,Southeast,1829,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1822,48,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102.0,HAND GUN,IC,Invest Cont,110.0,,,,2100 E  102ND                        ST,,33.9439,-118.2346,90002
210735,110109092,04/13/2011 12:00:00 AM,04/13/2011 12:00:00 AM,200,1,Central,162,1,110,CRIMINAL HOMICIDE,2004 1218 0411,35,M,H,102.0,SIDEWALK,207.0,OTHER KNIFE,AA,Adult Arrest,110.0,,,,800 S  HILL                         ST,,34.0445,-118.2558,90014
210749,111812384,05/26/2011 12:00:00 AM,05/25/2011 12:00:00 AM,2035,18,Southeast,1826,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1407,31,M,B,102.0,SIDEWALK,102.0,HAND GUN,IC,Invest Cont,110.0,,,,1600 E  92ND                         ST,,33.9533,-118.24600000000001,90002
211261,111318407,08/07/2011 12:00:00 AM,08/07/2011 12:00:00 AM,205,13,Newton,1324,1,110,CRIMINAL HOMICIDE,0345 0430 0906 1100 1409 1402 1407,26,M,H,104.0,DRIVEWAY,102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,1200 E  25TH                         ST,,34.0186,-118.2519,90011
212146,110620564,08/17/2011 12:00:00 AM,08/17/2011 12:00:00 AM,1621,6,Hollywood,678,1,110,CRIMINAL HOMICIDE,0430 1402,26,M,W,101.0,STREET,102.0,HAND GUN,AO,Adult Other,110.0,998.0,,,LEMON GROVE,OXFORD,34.0862,-118.3078,90004
212894,111800845,04/22/2011 12:00:00 AM,04/21/2011 12:00:00 AM,1705,18,Southeast,1827,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1419,22,M,H,501.0,SINGLE FAMILY DWELLING,109.0,SEMI-AUTOMATIC PISTOL,AO,Adult Other,110.0,,,,9800    BEACH                        ST,,33.9474,-118.2419,90002
214649,111323891,10/31/2011 12:00:00 AM,10/31/2011 12:00:00 AM,2156,13,Newton,1372,1,110,CRIMINAL HOMICIDE,0302 0430 0906 1100 1407,29,M,B,102.0,SIDEWALK,102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,56TH                         ST,TOWNE                        AV,33.9916,-118.2674,90011
215761,110417321,12/01/2011 12:00:00 AM,11/30/2011 12:00:00 AM,14,4,Hollenbeck,455,1,110,CRIMINAL HOMICIDE,1402 0342 1309 1100 0430 0906,31,M,H,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,AO,Adult Other,110.0,998.0,,,2100    CITY VIEW                    AV,,34.0523,-118.2091,90033
216059,111304523,01/08/2011 12:00:00 AM,01/08/2011 12:00:00 AM,2208,13,Newton,1347,1,110,CRIMINAL HOMICIDE,0302 0309 0334 0430 0906 1100 1309 1402,26,M,H,501.0,SINGLE FAMILY DWELLING,102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,2700    NEVIN                        AV,,34.0129,-118.2454,90011
216546,111715572,08/13/2011 12:00:00 AM,08/13/2011 12:00:00 AM,1,17,Devonshire,1762,1,110,CRIMINAL HOMICIDE,1501 1402,0,M,W,501.0,SINGLE FAMILY DWELLING,500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,110.0,998.0,,,20400    LASSEN                       ST,,34.25,-118.57700000000001,91324
216575,110504418,01/09/2011 12:00:00 AM,01/09/2011 12:00:00 AM,1008,5,Harbor,503,1,110,CRIMINAL HOMICIDE,0400 0913 1241 1821,56,F,A,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,110.0,,,,25200    PETROLEUM                    AV,,33.7958,-118.2937,90710
217580,111306632,02/13/2011 12:00:00 AM,02/13/2011 12:00:00 AM,150,13,Newton,1354,1,110,CRIMINAL HOMICIDE,0416 1309,55,M,H,101.0,STREET,307.0,VEHICLE,AA,Adult Arrest,110.0,,,,43RD                         ST,MAIN                         ST,34.0057,-118.274,90011
218246,111901182,08/06/2011 12:00:00 AM,08/05/2011 12:00:00 AM,1240,19,Mission,1962,1,110,CRIMINAL HOMICIDE,0309 0430 0906 1100 1310 1309 1816,20,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",107.0,OTHER FIREARM,AA,Adult Arrest,110.0,,,,15300    NORDHOFF                     ST,,34.2355,-118.4654,91343
219268,111217000,06/29/2011 12:00:00 AM,06/29/2011 12:00:00 AM,1105,12,77th Street,1249,1,110,CRIMINAL HOMICIDE,0302 0309 0342 0430 0906 1100 1309 1402 1407 1822,19,M,B,102.0,SIDEWALK,102.0,HAND GUN,IC,Invest Cont,110.0,,,,6900    DENVER                       AV,,33.9774,-118.2838,90003
219913,111808793,03/26/2011 12:00:00 AM,03/26/2011 12:00:00 AM,450,18,Southeast,1864,1,110,CRIMINAL HOMICIDE,0302 0430 1100 1310 1402 1407,39,M,B,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,110.0,,,,800 E  116TH                        PL,,33.9283,-118.2604,90061
220710,111115816,08/07/2011 12:00:00 AM,08/07/2011 12:00:00 AM,505,11,Northeast,1172,1,110,CRIMINAL HOMICIDE,0430 1100 1407,25,M,H,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,1400    SILVER LAKE                  BL,,34.0848,-118.2712,90026
221556,111430749,11/13/2011 12:00:00 AM,11/12/2011 12:00:00 AM,2030,14,Pacific,1457,1,110,CRIMINAL HOMICIDE,1501 1402,50,F,W,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,110.0,998.0,,,12300    CULVER                       BL,,33.992,-118.4201,90066
221581,111714455,07/22/2011 12:00:00 AM,07/22/2011 12:00:00 AM,1615,17,Devonshire,1764,1,110,CRIMINAL HOMICIDE,0430 1100 1419 1409 1407 1402,56,M,H,203.0,OTHER BUSINESS,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,110.0,998.0,,,8900    TAMPA                        AV,,34.2324,-118.5536,91324
222046,110510314,05/05/2011 12:00:00 AM,05/04/2011 12:00:00 AM,2340,5,Harbor,511,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1259,15,M,H,103.0,ALLEY,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110.0,,,,25400    SENATOR                      AV,,33.7938,-118.3027,90710
223268,111516302,08/20/2011 12:00:00 AM,08/20/2011 12:00:00 AM,130,15,N Hollywood,1502,1,110,CRIMINAL HOMICIDE,0302 0334 0400 0430 0906 1100 1270 1816 1801 1807,22,M,B,501.0,SINGLE FAMILY DWELLING,102.0,HAND GUN,AA,Adult Arrest,110.0,,,,8100    COLDWATER CANYON             AV,,34.2183,-118.4144,91605
223285,111614988,08/17/2011 12:00:00 AM,08/17/2011 12:00:00 AM,1830,16,Foothill,1684,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1270 1402 1310 1414 1409 1407,25,F,W,101.0,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont,110.0,998.0,,,8200    WEBB                         AV,,34.2194,-118.391,91605
223288,110306733,02/13/2011 12:00:00 AM,02/13/2011 12:00:00 AM,120,3,Southwest,375,1,110,CRIMINAL HOMICIDE,0302 0430 0906 1100 1407 1402,25,M,H,102.0,SIDEWALK,102.0,HAND GUN,IC,Invest Cont,110.0,,,,1800    LEIGHTON                     AV,,34.0128,-118.3132,90062
223293,111714461,07/23/2011 12:00:00 AM,07/23/2011 12:00:00 AM,400,17,Devonshire,1798,1,110,CRIMINAL HOMICIDE,0430 1100 1402,36,M,H,501.0,SINGLE FAMILY DWELLING,500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,110.0,998.0,,,9000    AQUEDUCT                     AV,,34.2338,-118.4741,91343
224713,111206661,02/08/2011 12:00:00 AM,02/08/2011 12:00:00 AM,1030,12,77th Street,1266,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1822,36,M,B,101.0,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont,110.0,,,,900 W  79TH                         ST,,33.9678,-118.2893,90003
224872,110512614,06/19/2011 12:00:00 AM,06/19/2011 12:00:00 AM,215,5,Harbor,506,1,110,CRIMINAL HOMICIDE,0430 1100,20,M,H,103.0,ALLEY,106.0,UNKNOWN FIREARM,IC,Invest Cont,110.0,,,,1500 W  219TH                        ST,,33.8291,-118.3038,90501
224904,111909268,09/22/2011 12:00:00 AM,09/22/2011 12:00:00 AM,700,19,Mission,1982,1,110,CRIMINAL HOMICIDE,1257,0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,110.0,,,,15100    PARTHENIA                    ST,,34.2283,-118.4611,91402
225082,110217800,09/27/2011 12:00:00 AM,09/26/2011 12:00:00 AM,2345,2,Rampart,285,1,110,CRIMINAL HOMICIDE,0309 0430 0906 1100 1300 1270,20,M,H,101.0,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont,110.0,,,,1900 W  PICO                         BL,,34.0462,-118.2802,90006
226136,111312205,05/14/2011 12:00:00 AM,05/14/2011 12:00:00 AM,105,13,Newton,1377,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1402 1409 1407,36,M,B,102.0,SIDEWALK,102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,5400    DUARTE                       ST,,33.9938,-118.2424,90011
227666,111204604,01/10/2011 12:00:00 AM,01/10/2011 12:00:00 AM,450,12,77th Street,1255,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1402 1822,36,M,H,102.0,SIDEWALK,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110.0,,,,7300 S  NORMANDIE                    AV,,33.9737,-118.3003,90047
228199,110520735,11/27/2011 12:00:00 AM,11/27/2011 12:00:00 AM,1730,5,Harbor,511,1,110,CRIMINAL HOMICIDE,1309 0906 0430,16,M,H,102.0,SIDEWALK,102.0,HAND GUN,IC,Invest Cont,110.0,,,,SENATOR                      AV,245TH                        ST,33.8025,-118.3018,90710
228224,110100799,04/12/2011 12:00:00 AM,04/12/2011 12:00:00 AM,2145,1,Central,145,1,110,CRIMINAL HOMICIDE,,65,M,B,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,110.0,998.0,,,100 E  5TH                          ST,,34.0467,-118.2485,90014
229240,111613334,07/13/2011 12:00:00 AM,07/13/2011 12:00:00 AM,1612,16,Foothill,1602,1,110,CRIMINAL HOMICIDE,0407 0430 0906 1100 1414 1409 1407 1402,25,F,B,501.0,SINGLE FAMILY DWELLING,106.0,UNKNOWN FIREARM,AA,Adult Arrest,110.0,998.0,,,11600    BROMONT                      AV,,34.2809,-118.4048,91342
230435,110519740,11/06/2011 12:00:00 AM,11/06/2011 12:00:00 AM,105,5,Harbor,518,1,110,CRIMINAL HOMICIDE,0216 0309 0430 0906 1100 1309 1312,20,M,H,102.0,SIDEWALK,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110.0,,,,1400    LAKME                        AV,,33.7923,-118.2607,90744
230509,110409902,05/23/2011 12:00:00 AM,05/23/2011 12:00:00 AM,2017,4,Hollenbeck,438,1,110,CRIMINAL HOMICIDE,0302 0342 0371 0430 0906 1100 1309 1313 1402 1816,25,M,H,102.0,SIDEWALK,106.0,UNKNOWN FIREARM,IC,Invest Cont,110.0,998.0,,,ITHACA,ENDICOTT,34.0765,-118.1703,90032
231334,110116396,09/06/2011 12:00:00 AM,09/06/2011 12:00:00 AM,430,1,Central,158,1,110,CRIMINAL HOMICIDE,0416,39,M,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,110.0,,,,6TH                          ST,GLADYS,34.0398,-118.2413,90014
231672,111804983,01/19/2011 12:00:00 AM,01/17/2011 12:00:00 AM,2110,18,Southeast,1821,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1300,21,M,H,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110.0,,,,500 W  98TH                         ST,,33.9472,-118.2826,90044
233051,110511230,05/20/2011 12:00:00 AM,05/20/2011 12:00:00 AM,1800,5,Harbor,529,1,110,CRIMINAL HOMICIDE,0350 1219,24,F,B,251.0,RECYCLING CENTER,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,110.0,,,,900 E  E                            ST,,33.7762,-118.2517,90744
233777,111805794,02/01/2011 12:00:00 AM,01/31/2011 12:00:00 AM,2024,18,Southeast,1842,1,110,CRIMINAL HOMICIDE,0430 0906 1300 1310 1402,46,M,B,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,BROADWAY,IMPERIAL,33.931,-118.2783,90061
235210,111319494,08/23/2011 12:00:00 AM,08/18/2011 12:00:00 AM,2030,13,Newton,1345,1,110,CRIMINAL HOMICIDE,0906 1100,55,F,B,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110.0,998.0,,,1200 E  41ST                         ST,,34.0093,-118.2543,90011
235709,111620147,12/13/2011 12:00:00 AM,12/13/2011 12:00:00 AM,1028,16,Foothill,1642,1,110,CRIMINAL HOMICIDE,1402 0430 1100 1414,39,F,H,501.0,SINGLE FAMILY DWELLING,106.0,UNKNOWN FIREARM,IC,Invest Cont,110.0,998.0,,,13300    PIERCE                       ST,,34.2606,-118.4224,91331
236041,111816149,08/02/2011 12:00:00 AM,08/01/2011 12:00:00 AM,2120,18,Southeast,1862,1,110,CRIMINAL HOMICIDE,0302 0430 0906 1100,27,M,B,102.0,SIDEWALK,102.0,HAND GUN,IC,Invest Cont,110.0,,,,11400    LINK                         ST,,33.931,-118.2736,90061
236182,111305728,01/28/2011 12:00:00 AM,01/28/2011 12:00:00 AM,2020,13,Newton,1354,1,110,CRIMINAL HOMICIDE,0334 0430 0906 1100 1409,23,M,H,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110.0,998.0,,,43RD                         ST,MAIN                         ST,34.0057,-118.274,90011
237117,111106253,02/14/2011 12:00:00 AM,02/14/2011 12:00:00 AM,1510,11,Northeast,1146,1,110,CRIMINAL HOMICIDE,0400 1257,3,M,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,110.0,,,,2900    PARTRIDGE                    AV,,34.1047,-118.2469,90065
237340,110106386,02/18/2011 12:00:00 AM,01/05/2011 12:00:00 AM,1300,1,Central,118,1,110,CRIMINAL HOMICIDE,,0,F,U,710.0,OTHER PREMISE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,110.0,,,,1000 N  MAIN                         ST,,34.0627,-118.2341,90012
237391,110624820,10/15/2011 12:00:00 AM,10/15/2011 12:00:00 AM,43,6,Hollywood,647,1,110,CRIMINAL HOMICIDE,0906 0342 1402 0430 1100 0334 0302,20,M,H,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110.0,998.0,,,HOLLYWOOD                    BL,GOWER,34.1017,-118.3224,90028
238280,110712872,07/30/2011 12:00:00 AM,07/30/2011 12:00:00 AM,1945,7,Wilshire,766,1,110,CRIMINAL HOMICIDE,0430 1414 1402 1309 1100 0906 0400,27,M,H,102.0,SIDEWALK,106.0,UNKNOWN FIREARM,AA,Adult Arrest,110.0,998.0,,,QUEEN ANNE                   PL,PICO                         BL,34.0484,-118.3326,90019
239493,110114503,09/20/2011 12:00:00 AM,09/20/2011 12:00:00 AM,1430,1,Central,166,1,110,CRIMINAL HOMICIDE,0411 1402,22,M,B,102.0,SIDEWALK,204.0,FOLDING KNIFE,AA,Adult Arrest,110.0,998.0,,,SAN JULIAN,5TH                          ST,34.0446,-118.245,90014
239644,111818546,09/18/2011 12:00:00 AM,09/17/2011 12:00:00 AM,2327,18,Southeast,1827,1,110,CRIMINAL HOMICIDE,0400 0416 0430 0432 0906 1100,31,M,H,104.0,DRIVEWAY,102.0,HAND GUN,IC,Invest Cont,110.0,,,,9900    ANZAC                        AV,,33.9465,-118.2379,90002
239869,111110731,05/07/2011 12:00:00 AM,05/07/2011 12:00:00 AM,110,11,Northeast,1147,1,110,CRIMINAL HOMICIDE,0371 0430 0906 1100 1402,19,M,H,707.0,GARAGE/CARPORT,102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,2000    ISABEL                       ST,,34.103,-118.2339,90065
240320,111000679,05/06/2011 12:00:00 AM,05/05/2011 12:00:00 AM,2330,10,West Valley,1035,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1407 0302 1300 1309 1270,19,M,H,102.0,SIDEWALK,106.0,UNKNOWN FIREARM,IC,Invest Cont,110.0,,,,18300    VANOWEN                      ST,,34.1939,-118.5317,91335
241118,111226813,11/16/2011 12:00:00 AM,11/16/2011 12:00:00 AM,1500,12,77th Street,1265,1,110,CRIMINAL HOMICIDE,0302 0342 0430 0906 1100 1309,21,M,B,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,110.0,,,,1300 W  84TH                         PL,,33.9617,-118.2985,90044
241433,111907918,03/07/2011 12:00:00 AM,03/06/2011 12:00:00 AM,2030,19,Mission,1984,1,110,CRIMINAL HOMICIDE,0311 0400 0430 0906 1100 1402,17,M,H,102.0,SIDEWALK,102.0,HAND GUN,JA,Juv Arrest,110.0,998.0,,,8300    WILLIS                       AV,,34.2215,-118.4553,91402
242982,110521645,12/18/2011 12:00:00 AM,12/18/2011 12:00:00 AM,45,5,Harbor,567,1,110,CRIMINAL HOMICIDE,1309 1402 0430 1100 1407,48,M,W,102.0,SIDEWALK,109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110.0,998.0,,,MESA                         ST,22ND                         ST,33.7243,-118.2858,90731
244319,111016232,10/05/2011 12:00:00 AM,10/05/2011 12:00:00 AM,1635,10,West Valley,1035,1,110,CRIMINAL HOMICIDE,0906 1407 1402 0334 0302 1310 1100 0430,32,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",102.0,HAND GUN,AO,Adult Other,110.0,998.0,,,6600    ETIWANDA                     AV,,34.1903,-118.5317,91335
244321,110104233,01/06/2011 12:00:00 AM,01/02/2011 12:00:00 AM,1619,1,Central,156,1,110,CRIMINAL HOMICIDE,,52,M,B,,,,,IC,Invest Cont,110.0,,,,500 S  SAN PEDRO                    ST,,34.0442,-118.2439,90013
244449,910220366,08/09/2011 12:00:00 AM,08/09/2011 12:00:00 AM,800,4,Hollenbeck,443,1,110,CRIMINAL HOMICIDE,1402,-4,X,X,725.0,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,110.0,998.0,,,1100 N  MISSION                      RD,,34.0606,-118.2144,90033
245907,111315107,06/22/2011 12:00:00 AM,06/22/2011 12:00:00 AM,2155,13,Newton,1323,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1223 1217 1409,0,M,H,102.0,SIDEWALK,106.0,UNKNOWN FIREARM,IC,Invest Cont,110.0,998.0,,,700 E  23RD                         ST,,34.0241,-118.2597,90011
246200,111220781,08/22/2011 12:00:00 AM,08/21/2011 12:00:00 AM,2134,12,77th Street,1242,1,110,CRIMINAL HOMICIDE,0305 0334 0342 0416 0417 0430 0906 1801,24,M,H,121.0,YARD (RESIDENTIAL/BUSINESS),102.0,HAND GUN,AA,Adult Arrest,110.0,,,,6300    5TH                          AV,,33.9827,-118.3226,90043
246587,111208458,03/29/2011 12:00:00 AM,03/27/2011 12:00:00 AM,1400,12,77th Street,1273,1,110,CRIMINAL HOMICIDE,0305 0309 0430 0906 1100 1414 1407 1822,29,M,B,108.0,PARKING LOT,102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,2000 W  MANCHESTER                   BL,,33.96,-118.3134,90047
250015,111217412,07/05/2011 12:00:00 AM,07/05/2011 12:00:00 AM,220,12,77th Street,1257,1,110,CRIMINAL HOMICIDE,0302 0342 0371 0430 0906 1100 1309 1402 1407,21,M,B,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,110.0,,,,VERMONT,78TH,33.9688,-118.2914,90044
250250,111813824,06/21/2011 12:00:00 AM,06/18/2011 12:00:00 AM,130,18,Southeast,1834,1,110,CRIMINAL HOMICIDE,0400 0416 2000,19,M,B,101.0,STREET,304.0,CLUB/BAT,AA,Adult Arrest,110.0,,,,107TH                        ST,MCKINLEY                     AV,33.9393,-118.2608,90002
252370,112011197,05/09/2011 12:00:00 AM,05/09/2011 12:00:00 AM,1310,20,Olympic,2079,1,110,CRIMINAL HOMICIDE,0406 0411 0561 0913,59,F,H,501.0,SINGLE FAMILY DWELLING,207.0,OTHER KNIFE,AO,Adult Other,110.0,,,,1500    ARAPAHOE                     ST,,34.0458,-118.2854,90006
252673,110114124,07/23/2011 12:00:00 AM,07/23/2011 12:00:00 AM,135,1,Central,138,1,110,CRIMINAL HOMICIDE,0302 0430 1100 1270,29,M,O,735.0,NIGHT CLUB (OPEN EVENINGS ONLY),102.0,HAND GUN,IC,Invest Cont,110.0,,,,300 S  ALAMEDA                      ST,,34.0455,-118.2381,90013
252771,110505952,02/08/2011 12:00:00 AM,02/08/2011 12:00:00 AM,220,5,Harbor,522,1,110,CRIMINAL HOMICIDE,0342 0345 0371 0430 0432 0906 1100 1402 1407,35,M,H,102.0,SIDEWALK,102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,600 W  I                            ST,,33.7811,-118.2688,90744
253052,110205180,01/24/2011 12:00:00 AM,01/24/2011 12:00:00 AM,500,2,Rampart,257,1,110,CRIMINAL HOMICIDE,0305 0432 0430 1100,46,M,H,108.0,PARKING LOT,102.0,HAND GUN,IC,Invest Cont,110.0,,,,1400 W  6TH                          ST,,34.0562,-118.2673,90017
253592,111014301,08/12/2011 12:00:00 AM,08/11/2011 12:00:00 AM,1923,10,West Valley,1005,1,110,CRIMINAL HOMICIDE,1270 1100 1402 1409 1419 0303 1300 0302 0906 1407,18,M,H,103.0,ALLEY,102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,7900    WHITE OAK                    AV,,34.2139,-118.5186,91325
253800,112012218,05/27/2011 12:00:00 AM,05/27/2011 12:00:00 AM,2320,20,Olympic,2015,1,110,CRIMINAL HOMICIDE,0446 0353 0411 0417 1409 0334 0913 0416 0408 1815,19,M,A,102.0,SIDEWALK,207.0,OTHER KNIFE,AA,Adult Arrest,110.0,998.0,,,100 N  MARIPOSA                     AV,,34.0728,-118.2994,90020
255920,112119913,11/30/2011 12:00:00 AM,11/30/2011 12:00:00 AM,1930,21,Topanga,2177,1,110,CRIMINAL HOMICIDE,0430 1100 1402 1407,23,M,W,109.0,PARK/PLAYGROUND,106.0,UNKNOWN FIREARM,AA,Adult Arrest,110.0,998.0,,,TOPANGA CANYON               BL,MARYLEE                      ST,34.1753,-118.6055,91367
255938,111228921,12/18/2011 12:00:00 AM,12/18/2011 12:00:00 AM,220,12,77th Street,1267,1,110,CRIMINAL HOMICIDE,0906 1309 0342 1402 0302 0340 0430 1100 1407,28,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110.0,,,,800 W  84TH                         ST,,33.9625,-118.2871,90044
256807,111122973,12/29/2011 12:00:00 AM,12/29/2011 12:00:00 AM,50,11,Northeast,1118,1,110,CRIMINAL HOMICIDE,0400 0416 1402 0411 1218,63,M,W,210.0,RESTAURANT/FAST FOOD,207.0,OTHER KNIFE,IC,Invest Cont,110.0,998.0,,,5800 N  FIGUEROA                     ST,,34.1106,-118.1909,90042
257902,111225785,11/01/2011 12:00:00 AM,10/29/2011 12:00:00 AM,2355,12,77th Street,1203,1,110,CRIMINAL HOMICIDE,1300 1822 0302 0334 0371 0430 0906,18,M,H,102.0,SIDEWALK,102.0,HAND GUN,IC,Invest Cont,110.0,,,,1700 W  50TH                         ST,,33.998000000000005,-118.3089,90062
258800,111819806,10/11/2011 12:00:00 AM,10/11/2011 12:00:00 AM,850,18,Southeast,1837,1,110,CRIMINAL HOMICIDE,0430 0906 1100,32,M,H,102.0,SIDEWALK,102.0,HAND GUN,IC,Invest Cont,110.0,,,,106TH,WILMINGTON,33.9398,-118.23899999999999,90002
259363,110326768,12/17/2011 12:00:00 AM,12/17/2011 12:00:00 AM,1009,3,Southwest,393,1,110,CRIMINAL HOMICIDE,0430 1100 1822 1407 1402,0,M,B,103.0,ALLEY,106.0,UNKNOWN FIREARM,IC,Invest Cont,110.0,,,,4200    CRENSHAW                     BL,,34.0085,-118.3351,90008
259410,110401204,09/15/2011 12:00:00 AM,09/15/2011 12:00:00 AM,1653,4,Hollenbeck,437,1,110,CRIMINAL HOMICIDE,1501,0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,110.0,,,,4700    CATALPA                      ST,,34.064,-118.1826,90032
259975,111814583,07/05/2011 12:00:00 AM,07/04/2011 12:00:00 AM,2258,18,Southeast,1839,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1402,34,M,B,501.0,SINGLE FAMILY DWELLING,104.0,SHOTGUN,IC,Invest Cont,110.0,,,,2200 E  105TH                        ST,,33.9406,-118.2328,90002
260005,110919609,10/11/2011 12:00:00 AM,10/11/2011 12:00:00 AM,1720,9,Van Nuys,901,1,110,CRIMINAL HOMICIDE,0430 1100,46,M,H,501.0,SINGLE FAMILY DWELLING,101.0,REVOLVER,AA,Adult Arrest,110.0,753.0,,,7800    ORION                        AV,,34.2121,-118.4706,91406
260242,111612932,07/06/2011 12:00:00 AM,07/06/2011 12:00:00 AM,1604,16,Foothill,1642,1,110,CRIMINAL HOMICIDE,0302 0334 0345 0430 0906 1100 1270 1414 1409 1402,28,M,H,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,TELFAIR                      AV,GOLETA                       ST,34.2554,-118.4169,91331
260820,111804782,01/15/2011 12:00:00 AM,01/15/2011 12:00:00 AM,135,18,Southeast,1837,1,110,CRIMINAL HOMICIDE,0430 0906 1100,31,M,B,102.0,SIDEWALK,102.0,HAND GUN,AA,Adult Arrest,110.0,,,,1700 E  111TH                        PL,,33.9339,-118.2434,90059
261182,111229103,12/21/2011 12:00:00 AM,12/20/2011 12:00:00 AM,2235,12,77th Street,1241,1,110,CRIMINAL HOMICIDE,0342 1100 0302,54,M,B,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,110.0,,,,6300    CRENSHAW                     BL,,33.9829,-118.3309,90043
261200,111618537,11/01/2011 12:00:00 AM,11/01/2011 12:00:00 AM,2222,16,Foothill,1621,1,110,CRIMINAL HOMICIDE,0430 1100 1203 1402 1414 1409 1407,27,M,H,102.0,SIDEWALK,102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,13900    LOUVRE                       ST,,34.2625,-118.4361,91331
